STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       5541;19870601;-999;-999;-999;   10;   0.0;   0;-999;   0;   4.0;  11.0;    -999;   15.0;   66.00;   18.5;   11.6;    6.0;eor
       5541;19870602;-999;-999;-999;   10;   7.3;   6;-999;   0;   6.3;  13.8;    -999;   14.0;   84.00;   18.5;    8.5;    4.5;eor
       5541;19870603;-999;-999;-999;   10;   4.6;   6;-999;   0;   7.7;  14.5;    -999;   14.2;   89.00;   16.8;   11.0;   10.3;eor
       5541;19870604;-999;-999;-999;   10;   9.7;   6;-999;   0;   7.3;  13.9;    -999;   12.8;   90.00;   16.1;    8.5;    5.5;eor
       5541;19870605;-999;-999;-999;   10;   0.3;   6;-999;   0;   4.3;  13.0;    -999;   13.7;   81.00;   18.2;    9.5;    6.0;eor
       5541;19870606;-999;-999;-999;   10;   5.0;   6;-999;   0;   7.0;  14.5;    -999;   14.3;   88.00;   17.6;    8.4;    4.5;eor
       5541;19870607;-999;-999;-999;   10;  12.5;   6;-999;   0;   7.3;  14.4;    -999;   14.8;   85.00;   17.6;   11.9;    9.4;eor
       5541;19870608;-999;-999;-999;   10;   0.0;   0;-999;   0;   4.3;   9.6;    -999;   10.6;   73.00;   14.5;    8.8;    7.8;eor
       5541;19870609;-999;-999;-999;   10;   0.0;   0;-999;   0;   3.3;  10.2;    -999;   12.0;   73.00;   16.5;    5.0;    2.0;eor
       5541;19870610;-999;-999;-999;   10;   1.6;   8;-999;   0;   2.0;  11.1;    -999;   12.1;   77.00;   17.6;    5.0;    1.1;eor
       5541;19870611;-999;-999;-999;   10;   3.8;   6;-999;   0;   6.7;  13.8;    -999;   13.6;   85.00;   18.8;    8.5;    4.4;eor
       5541;19870612;-999;-999;-999;   10;   2.1;   6;-999;   0;   8.0;  14.7;    -999;   13.6;   94.00;   16.8;   10.6;    7.2;eor
       5541;19870613;-999;-999;-999;   10;  22.3;   6;-999;   0;   8.0;  15.0;    -999;   14.3;   93.00;   18.5;    9.0;    4.6;eor
       5541;19870614;-999;-999;-999;   10;   2.7;   6;-999;   0;   6.7;  12.6;    -999;   14.1;   78.00;   18.0;   11.4;    9.2;eor
       5541;19870615;-999;-999;-999;   10;  10.1;   6;-999;   0;   8.0;  12.7;    -999;   11.8;   89.00;   15.2;   10.0;    6.5;eor
       5541;19870616;-999;-999;-999;   10;   0.7;   6;-999;   0;   8.0;  10.5;    -999;   10.0;   83.00;   13.5;    8.5;    7.5;eor
       5541;19870617;-999;-999;-999;   10;   2.6;   6;-999;   0;   6.7;  10.1;    -999;   10.2;   79.00;   14.5;    5.5;    5.0;eor
       5541;19870618;-999;-999;-999;   10;   3.8;   6;-999;   0;   7.0;  10.1;    -999;   11.0;   76.00;   15.4;    8.8;    6.5;eor
       5541;19870619;-999;-999;-999;   10;   8.9;   6;-999;   0;   8.0;  13.0;    -999;   11.8;   93.00;   13.4;    7.6;    4.7;eor
       5541;19870620;-999;-999;-999;   10;   7.5;   6;-999;   0;   8.0;  13.6;    -999;   12.7;   92.00;   15.4;   11.0;   11.0;eor
       5541;19870621;-999;-999;-999;   10;   0.0;   0;-999;   0;   5.0;  12.2;    -999;   13.5;   78.00;   17.0;    9.9;    8.0;eor
       5541;19870622;-999;-999;-999;   10;   6.0;   6;-999;   0;   7.7;  13.5;    -999;   13.8;   86.00;   17.5;    8.4;    4.6;eor
       5541;19870623;-999;-999;-999;   10;   0.5;   6;-999;   0;   6.7;  13.8;    -999;   16.4;   73.00;   20.0;   12.3;   11.6;eor
       5541;19870624;-999;-999;-999;   10;   2.1;   6;-999;   0;   6.0;  14.2;    -999;   14.0;   86.00;   18.8;   12.2;   12.3;eor
       5541;19870625;-999;-999;-999;   10;   4.3;   6;-999;   0;   5.7;  11.9;    -999;   13.8;   76.00;   18.7;    9.8;    5.8;eor
       5541;19870626;-999;-999;-999;   10;   3.0;   6;-999;   0;   6.3;  15.3;    -999;   14.8;   90.00;   18.2;   11.9;   11.7;eor
       5541;19870627;-999;-999;-999;   10;   0.0;   0;-999;   0;   3.3;  15.2;    -999;   17.6;   77.00;   22.6;    9.9;    7.1;eor
       5541;19870628;-999;-999;-999;   10;   0.2;   6;-999;   0;   5.0;  19.8;    -999;   19.7;   85.00;   24.0;   14.5;   11.6;eor
