STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       4336;19510101;-999;-999;-999;    5;  10.0;   8;-999;   0;   6.3;   6.1;    -999;    0.7;   96.00;    2.0;   -3.4;   -3.3;eor
       4336;19510102;-999;-999;-999;    5;   7.8;   8;-999;   2;   8.0;   6.1;    -999;    1.0;   94.00;    2.0;   -0.3;    0.2;eor
       4336;19510103;-999;-999;-999;    5;   0.4;   8;-999;   0;   8.0;   5.6;    -999;    0.4;   91.00;    1.0;   -1.3;   -1.3;eor
       4336;19510104;-999;-999;-999;    5;   3.4;   1;-999;   0;   6.7;   5.6;    -999;    0.4;   89.00;    1.5;   -2.4;   -0.8;eor
       4336;19510105;-999;-999;-999;    5;   0.1;   1;-999;   0;   5.3;   6.5;    -999;    4.2;   81.00;    6.0;    0.2;    0.4;eor
       4336;19510106;-999;-999;-999;    5;   1.6;   1;-999;   0;   2.0;   6.1;    -999;    5.3;   68.00;    7.5;    2.7;    1.2;eor
       4336;19510107;-999;-999;-999;    5;   3.4;   1;-999;   0;   5.7;   7.6;    -999;    4.7;   87.00;    6.3;    3.4;    2.5;eor
       4336;19510108;-999;-999;-999;    5;   0.8;   1;-999;   0;   6.0;   7.3;    -999;    3.4;   94.00;    4.5;    1.4;    1.7;eor
       4336;19510109;-999;-999;-999;    5;   0.0;   0;-999;   0;   3.0;   6.4;    -999;    2.9;   83.00;    5.7;    0.2;    1.4;eor
       4336;19510110;-999;-999;-999;    5;   1.0;   1;-999;   0;   0.7;   5.9;    -999;    3.2;   77.00;    6.3;   -1.8;   -3.3;eor
       4336;19510111;-999;-999;-999;    5;   4.9;   1;-999;   0;   6.7;   7.5;    -999;    7.4;   74.00;    8.3;    3.3;    2.5;eor
       4336;19510112;-999;-999;-999;    5;   0.3;   1;-999;   0;   6.7;   6.9;    -999;    3.6;   85.00;    8.0;    1.7;    5.2;eor
